root,type,structure,notes
F,maj,"1,3,5","F,A,C"
F,13(#11),"1,3,5,b7,9,#11,13","F,A,C,D#,G,B,D"
F,11,"1,3,5,b7,9,11","F,A,C,D#,G,A#"
F,maj9,"1,3,5,7,9","F,A,C,E,G"
F,sus2,"1,2,5","F,G,C"
F,7(b13),"1,3,5,b7,b13","F,A,C,D#,C#"
F,maj7(#5),"1,3,#5,7","F,A,C#,E"
F,m11,"1,b3,5,b7,9,11","F,G#,C,D#,G,A#"
F,add9,"1,3,5,9","F,A,C,G"
F,m7b5,"1,b3,b5,b7","F,G#,B,D#"
F,m13,"1,b3,5,b7,9,11,13","F,G#,C,D#,G,A#,D"
F,m,"1,b3,5","F,G#,C"
F,7b5,"1,3,b5,b7","F,A,B,D#"
F,9(#11),"1,3,5,b7,9,#11","F,A,C,D#,G,B"
F,m7,"1,b3,5,b7","F,G#,C,D#"
F,m(maj7),"1,b3,5,7","F,G#,C,E"
F,dim,"1,b3,b5","F,G#,B"
F,6,"1,3,5,6","F,A,C,D"
F,7(#5),"1,3,#5,b7","F,A,C#,D#"
F,7sus4,"1,4,5,b7","F,A#,C,D#"
F,maj7,"1,3,5,7","F,A,C,E"
F,5,"1,5","F,C"
F,7(#11),"1,3,5,b7,#11","F,A,C,D#,B"
F,13(#9),"1,3,5,b7,#9,11,13","F,A,C,D#,G#,A#,D"
F,m6,"1,b3,5,6","F,G#,C,D"
F,13(#5),"1,3,#5,b7,9,11,13","F,A,C#,D#,G,A#,D"
F,m6/9,"1,b3,5,6,9","F,G#,C,D,G"
F,7(b9),"1,3,5,b7,b9","F,A,C,D#,F#"
F,m9,"1,b3,5,b7,9","F,G#,C,D#,G"
F,13(b9),"1,3,5,b7,b9,11,13","F,A,C,D#,F#,A#,D"
F,sus4,"1,4,5","F,A#,C"
F,6/9,"1,3,5,6,9","F,A,C,D,G"
G,9(#5),"1,3,#5,b7,9","G,B,D#,F,A"
G,13,"1,3,5,b7,9,11,13","G,B,D,F,A,C,E"
G,6(#11),"1,3,5,6,#11","G,B,D,E,C#"
G,7(#9),"1,3,5,b7,#9","G,B,D,F,A#"
G,+(#11),"1,3,#5,#11","G,B,D#,C#"
G,9,"1,3,5,b7,9","G,B,D,F,A"
G,9b5,"1,3,b5,b7,9","G,B,C#,F,A"
G,maj13,"1,3,5,7,9,11,13","G,B,D,F#,A,C,E"
G,7,"1,3,5,b7","G,B,D,F"
G,dim7,"1,b3,b5,A#7","G,A#,C#,E"
G,aug,"1,3,#5","G,B,D#"
G,m(maj9),"1,b3,5,7,9","G,A#,D,F#,A"
G,maj,"1,3,5","G,B,D"
G,13(#11),"1,3,5,b7,9,#11,13","G,B,D,F,A,C#,E"
G,11,"1,3,5,b7,9,11","G,B,D,F,A,C"
G,maj9,"1,3,5,7,9","G,B,D,F#,A"
G,sus2,"1,2,5","G,A,D"
G,7(b13),"1,3,5,b7,b13","G,B,D,F,D#"
G,maj7(#5),"1,3,#5,7","G,B,D#,F#"
G,m11,"1,b3,5,b7,9,11","G,A#,D,F,A,C"
G,add9,"1,3,5,9","G,B,D,A"
G,m7b5,"1,b3,b5,b7","G,A#,C#,F"
G,m13,"1,b3,5,b7,9,11,13","G,A#,D,F,A,C,E"
G,m,"1,b3,5","G,A#,D"
G,7b5,"1,3,b5,b7","G,B,C#,F"
G,9(#11),"1,3,5,b7,9,#11","G,B,D,F,A,C#"
G,m7,"1,b3,5,b7","G,A#,D,F"
G,m(maj7),"1,b3,5,7","G,A#,D,F#"
G,dim,"1,b3,b5","G,A#,C#"
G,6,"1,3,5,6","G,B,D,E"
G,7(#5),"1,3,#5,b7","G,B,D#,F"
G,7sus4,"1,4,5,b7","G,C,D,F"
G,maj7,"1,3,5,7","G,B,D,F#"
G,5,"1,5","G,D"
G,7(#11),"1,3,5,b7,#11","G,B,D,F,C#"
G,13(#9),"1,3,5,b7,#9,11,13","G,B,D,F,A#,C,E"
G,m6,"1,b3,5,6","G,A#,D,E"
G,13(#5),"1,3,#5,b7,9,11,13","G,B,D#,F,A,C,E"
G,m6/9,"1,b3,5,6,9","G,A#,D,E,A"
G,7(b9),"1,3,5,b7,b9","G,B,D,F,G#"
G,m9,"1,b3,5,b7,9","G,A#,D,F,A"
G,13(b9),"1,3,5,b7,b9,11,13","G,B,D,F,G#,C,E"
G,sus4,"1,4,5","G,C,D"
G,6/9,"1,3,5,6,9","G,B,D,E,A"
