root,type,structure,notes
D#,9(#5),"1,3,#5,b7,9","D#,G,B,C#,F"
D#,13,"1,3,5,b7,9,11,13","D#,G,A#,C#,F,G#,C"
D#,6(#11),"1,3,5,6,#11","D#,G,A#,C,A"
D#,7(#9),"1,3,5,b7,#9","D#,G,A#,C#,F#"
D#,+(#11),"1,3,#5,#11","D#,G,B,A"
D#,9,"1,3,5,b7,9","D#,G,A#,C#,F"
D#,9b5,"1,3,b5,b7,9","D#,G,A,C#,F"
D#,maj13,"1,3,5,7,9,11,13","D#,G,A#,D,F,G#,C"
D#,7,"1,3,5,b7","D#,G,A#,C#"
D#,dim7,"1,b3,b5,A#7","D#,F#,A,C"
D#,aug,"1,3,#5","D#,G,B"
D#,m(maj9),"1,b3,5,7,9","D#,F#,A#,D,F"
D#,maj,"1,3,5","D#,G,A#"
D#,13(#11),"1,3,5,b7,9,#11,13","D#,G,A#,C#,F,A,C"
D#,11,"1,3,5,b7,9,11","D#,G,A#,C#,F,G#"
D#,maj9,"1,3,5,7,9","D#,G,A#,D,F"
D#,sus2,"1,2,5","D#,F,A#"
D#,7(b13),"1,3,5,b7,b13","D#,G,A#,C#,B"
D#,maj7(#5),"1,3,#5,7","D#,G,B,D"
D#,m11,"1,b3,5,b7,9,11","D#,F#,A#,C#,F,G#"
D#,add9,"1,3,5,9","D#,G,A#,F"
D#,m7b5,"1,b3,b5,b7","D#,F#,A,C#"
D#,m13,"1,b3,5,b7,9,11,13","D#,F#,A#,C#,F,G#,C"
D#,m,"1,b3,5","D#,F#,A#"
D#,7b5,"1,3,b5,b7","D#,G,A,C#"
D#,9(#11),"1,3,5,b7,9,#11","D#,G,A#,C#,F,A"
D#,m7,"1,b3,5,b7","D#,F#,A#,C#"
D#,m(maj7),"1,b3,5,7","D#,F#,A#,D"
D#,dim,"1,b3,b5","D#,F#,A"
D#,6,"1,3,5,6","D#,G,A#,C"
D#,7(#5),"1,3,#5,b7","D#,G,B,C#"
D#,7sus4,"1,4,5,b7","D#,G#,A#,C#"
D#,maj7,"1,3,5,7","D#,G,A#,D"
D#,5,"1,5","D#,A#"
D#,7(#11),"1,3,5,b7,#11","D#,G,A#,C#,A"
D#,13(#9),"1,3,5,b7,#9,11,13","D#,G,A#,C#,F#,G#,C"
D#,m6,"1,b3,5,6","D#,F#,A#,C"
D#,13(#5),"1,3,#5,b7,9,11,13","D#,G,B,C#,F,G#,C"
D#,m6/9,"1,b3,5,6,9","D#,F#,A#,C,F"
D#,7(b9),"1,3,5,b7,b9","D#,G,A#,C#,E"
D#,m9,"1,b3,5,b7,9","D#,F#,A#,C#,F"
D#,13(b9),"1,3,5,b7,b9,11,13","D#,G,A#,C#,E,G#,C"
D#,sus4,"1,4,5","D#,G#,A#"
D#,6/9,"1,3,5,6,9","D#,G,A#,C,F"
F#,9(#5),"1,3,#5,b7,9","F#,A#,D,E,G#"
F#,13,"1,3,5,b7,9,11,13","F#,A#,C#,E,G#,B,D#"
F#,6(#11),"1,3,5,6,#11","F#,A#,C#,D#,C"
F#,7(#9),"1,3,5,b7,#9","F#,A#,C#,E,A"
F#,+(#11),"1,3,#5,#11","F#,A#,D,C"
F#,9,"1,3,5,b7,9","F#,A#,C#,E,G#"
F#,9b5,"1,3,b5,b7,9","F#,A#,C,E,G#"
F#,maj13,"1,3,5,7,9,11,13","F#,A#,C#,F,G#,B,D#"
F#,7,"1,3,5,b7","F#,A#,C#,E"
F#,dim7,"1,b3,b5,A#7","F#,A,C,D#"
F#,aug,"1,3,#5","F#,A#,D"
F#,m(maj9),"1,b3,5,7,9","F#,A,C#,F,G#"
F#,maj,"1,3,5","F#,A#,C#"
F#,13(#11),"1,3,5,b7,9,#11,13","F#,A#,C#,E,G#,C,D#"
F#,11,"1,3,5,b7,9,11","F#,A#,C#,E,G#,B"
F#,maj9,"1,3,5,7,9","F#,A#,C#,F,G#"
F#,sus2,"1,2,5","F#,G#,C#"
F#,7(b13),"1,3,5,b7,b13","F#,A#,C#,E,D"
F#,maj7(#5),"1,3,#5,7","F#,A#,D,F"
F#,m11,"1,b3,5,b7,9,11","F#,A,C#,E,G#,B"
F#,add9,"1,3,5,9","F#,A#,C#,G#"
F#,m7b5,"1,b3,b5,b7","F#,A,C,E"
F#,m13,"1,b3,5,b7,9,11,13","F#,A,C#,E,G#,B,D#"
F#,m,"1,b3,5","F#,A,C#"
F#,7b5,"1,3,b5,b7","F#,A#,C,E"
F#,9(#11),"1,3,5,b7,9,#11","F#,A#,C#,E,G#,C"
F#,m7,"1,b3,5,b7","F#,A,C#,E"
F#,m(maj7),"1,b3,5,7","F#,A,C#,F"
F#,dim,"1,b3,b5","F#,A,C"
F#,6,"1,3,5,6","F#,A#,C#,D#"
F#,7(#5),"1,3,#5,b7","F#,A#,D,E"
F#,7sus4,"1,4,5,b7","F#,B,C#,E"
F#,maj7,"1,3,5,7","F#,A#,C#,F"
F#,5,"1,5","F#,C#"
F#,7(#11),"1,3,5,b7,#11","F#,A#,C#,E,C"
F#,13(#9),"1,3,5,b7,#9,11,13","F#,A#,C#,E,A,B,D#"
F#,m6,"1,b3,5,6","F#,A,C#,D#"
F#,13(#5),"1,3,#5,b7,9,11,13","F#,A#,D,E,G#,B,D#"
F#,m6/9,"1,b3,5,6,9","F#,A,C#,D#,G#"
F#,7(b9),"1,3,5,b7,b9","F#,A#,C#,E,G"
F#,m9,"1,b3,5,b7,9","F#,A,C#,E,G#"
F#,13(b9),"1,3,5,b7,b9,11,13","F#,A#,C#,E,G,B,D#"
F#,sus4,"1,4,5","F#,B,C#"
F#,6/9,"1,3,5,6,9","F#,A#,C#,D#,G#"
G#,9(#5),"1,3,#5,b7,9","G#,C,E,F#,A#"
G#,13,"1,3,5,b7,9,11,13","G#,C,D#,F#,A#,C#,F"
G#,6(#11),"1,3,5,6,#11","G#,C,D#,F,D"
G#,7(#9),"1,3,5,b7,#9","G#,C,D#,F#,B"
G#,+(#11),"1,3,#5,#11","G#,C,E,D"
G#,9,"1,3,5,b7,9","G#,C,D#,F#,A#"
G#,9b5,"1,3,b5,b7,9","G#,C,D,F#,A#"
G#,maj13,"1,3,5,7,9,11,13","G#,C,D#,G,A#,C#,F"
G#,7,"1,3,5,b7","G#,C,D#,F#"
G#,dim7,"1,b3,b5,A#7","G#,B,D,F"
G#,aug,"1,3,#5","G#,C,E"
G#,m(maj9),"1,b3,5,7,9","G#,B,D#,G,A#"
G#,maj,"1,3,5","G#,C,D#"
